ID,Checking Account Balance,Duration of Loan(months),Credit History,Purpose of Loan,Loan Amount,Savings Account Balance,Years in present employment,Installment Rate (% of disposable income),Marital Status,Co-applicant,Guarantor,Years at present Residence,Real Estate,Age,Other Installment plan credit,Housing,Number of Existing Credits,Job,No. Dependants,Foreign National,Repayment_Status
357580927,< GHS 0,6,critical account,Entertainment set,1169,Unknown/ No savings account, >= 7 years,4,Single,No,No,>4 years,Yes,67,No,Renting,2,Skilled employee / official,1,No,Repaid
470570475,GHS 0 < ... < GHS 200,48,existing credits paid back duly till now,Entertainment set,5951,< GHS 100 DM,1 <= ... < 4 years,2,Widowed,No,No,1< … <=2 years,Yes,22,No,Renting,1,Skilled employee / official,1,No,Defaulted
987284563,Unknown/No Checking Account,12,critical account,Education,2096,< GHS 100 DM,4 <=... < 7 years,2,Single,No,No,2<…<=3 years,Yes,49,No,Renting,1,Unskilled - resident,2,No,Repaid
779042722,< GHS 0,42,existing credits paid back duly till now,Furniture,7882,< GHS 100 DM,4 <=... < 7 years,2,Single,No,Yes,>4 years,No,45,No,Renting,1,Skilled employee / official,2,No,Repaid
920051223,< GHS 0,24,delay in paying off in the past,New Car,4870,< GHS 100 DM,1 <= ... < 4 years,3,Single,No,No,>4 years,No,53,No,Renting,2,Skilled employee / official,2,No,Defaulted
549900462,Unknown/No Checking Account,36,existing credits paid back duly till now,Education,9000,Unknown/ No savings account,1 <= ... < 4 years,2,Single,No,No,>4 years,No,35,No,Renting,1,Unskilled - resident,2,No,Repaid
51277850,Unknown/No Checking Account,24,existing credits paid back duly till now,Furniture,2835,GHS 500<= ... < GHS 1000, >= 7 years,3,Single,No,No,>4 years,No,35,No,Renting,1,Skilled employee / official,1,No,Repaid
194884395,GHS 0 < ... < GHS 200,36,existing credits paid back duly till now,Used Car,6948,< GHS 100 DM,1 <= ... < 4 years,2,Single,No,No,1< … <=2 years,No,35,No,Own House,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
1269129609,Unknown/No Checking Account,12,existing credits paid back duly till now,Entertainment set,3059, => GHS 1000 DM,4 <=... < 7 years,2,Divorced,No,No,>4 years,Yes,61,No,Renting,1,Unskilled - resident,1,No,Repaid
58249100,GHS 0 < ... < GHS 200,30,critical account,New Car,5234,< GHS 100 DM,unemployed,4,Married,No,No,1< … <=2 years,No,28,No,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Defaulted
1135685476,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,New Car,1295,< GHS 100 DM,< 1 year,3,Widowed,No,No,<= 1 year,No,25,No,Own House,1,Skilled employee / official,1,No,Defaulted
331936307,< GHS 0,48,existing credits paid back duly till now,Building project,4308,< GHS 100 DM,< 1 year,3,Widowed,No,No,>4 years,No,24,No,Own House,1,Skilled employee / official,1,No,Defaulted
301367803,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,Entertainment set,1567,< GHS 100 DM,1 <= ... < 4 years,1,Widowed,No,No,<= 1 year,No,22,No,Renting,1,Skilled employee / official,1,No,Repaid
256845821,< GHS 0,24,critical account,New Car,1199,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,No,60,No,Renting,2,Unskilled - resident,1,No,Defaulted
1104675678,< GHS 0,15,existing credits paid back duly till now,New Car,1400,< GHS 100 DM,1 <= ... < 4 years,2,Widowed,No,No,>4 years,No,28,No,Own House,1,Skilled employee / official,1,No,Repaid
115428995,< GHS 0,24,existing credits paid back duly till now,Entertainment set,1282,GHS 100 <= ... <  GHS 500,1 <= ... < 4 years,4,Widowed,No,No,1< … <=2 years,No,35,No,Renting,1,Unskilled - resident,1,No,Defaulted
374949053,Unknown/No Checking Account,24,critical account,Entertainment set,2424,Unknown/ No savings account, >= 7 years,4,Single,No,No,>4 years,No,53,No,Renting,2,Skilled employee / official,1,No,Repaid
766419388,< GHS 0,30,no credits taken,Building project,8070,Unknown/ No savings account,< 1 year,2,Single,No,No,2<…<=3 years,No,25,Yes,Renting,3,Skilled employee / official,1,No,Repaid
238027961,GHS 0 < ... < GHS 200,24,existing credits paid back duly till now,Used Car,12579,< GHS 100 DM, >= 7 years,4,Widowed,No,No,1< … <=2 years,No,44,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Defaulted
